index,text,Diacterized,Buckwalter,Cleaned_Text
10032,هي اللي تشتري الإسترليني,هيَ اللّي تَشْتَريَ الإِسْتِرْلينيِّ,hya All~y ta$otarya Al<isotirolyny~i,hy ally tshtry alistrlyny
10033,وبالتالي سعره يرتفع,وَبِالتّالي سِعْرِهِ يَرْتَفِعُ,wabiAlt~Aly siEorihi yarotafiEu,wbaltaly serh yrtfeu
10034,دا خيارنا الوحيد لو عاوزين ننقذ الإسترليني,دا خيارُنا الوَحيدُ لَوْ عاوِزينَ نَنْقَذُّ الإِسْتِرْلينيِّ,dA xyArunA AlwaHydu lawo EAwizyna nanoqa*~u Al<isotirolyny~i,da khyaruna alwhydu lw eawzyn nnqdhu alistrlyny
10035,المهم رئيس الوزراء رفض كلام وزير الخزانة,المُهِمُّ رَئيسُ الوُزَراءِ رَفْضَ كَلامُ وَزيرِ الخِزانَةِ,Almuhim~u ra}ysu AlwuzarA'i rafoDa kalAmu wazyri AlxizAnapi,almuhmu ryysu alwuzrae rfd klamu wzyr alkhzant
10036,وقال له أنا مش حرفع الفايدة,وَقالَ لَهُ أَنا مَشْ حرفعْ الفايِدَةِ,waqAla lahu >anA ma$o HrfEo AlfAyidapi,wqal lhu ana msh hrfe alfaydt
10037,في نفس الوقت اللي الاقتصاد بيعاني فيه,في نَفْسِ الوَقْتِ اللّي الِاقْتِصادَ بيعانيٌ فيهِ,fy nafosi Alwaqoti All~y AliAqotiSAda byEAnyN fyhi,fy nfs alwqt ally alaqtsad byeany fyh
10038,من انكماش,مِنْ انْكِماشٍ,mino AnokimA$K,mn ankmash
10039,لو عملت كدا الانكماش حيزيد,لَوْ عَمِلتَ كَدا الِانْكِماشِ حيزيدْ,lawo Eamilta kadA AliAnokimA$i Hyzydo,lw emlt kda alankmash hyzyd
10040,وقفل السكة مع الوزير على كدا,وَقَفْلَ السِّكَّةِ مَعَ الوَزيرِ عَلَى كَدا,waqafola Als~ik~api maEa Alwazyri EalaY kadA,wqfl alskt me alwzyr ela kda
10041,في الوقت دا كان خلاص,في الوَقْتِ دا كانَ خَلاصُ,fy Alwaqoti dA kAna xalASu,fy alwqt da kan khlasu
10042,السوق كله كان راكب فوق ضهر,السّوقُ كُلُّهُ كانَ راكِبُ فَوْقَ ضَهْرِ,Als~wqu kul~uhu kAna rAkibu fawoqa Dahori,alswqu kuluhu kan rakbu fwq dhr
10043,البنك المركزي البريطاني,البَنْكُ المَرْكَزيُّ البِريطانيُّ,Albanoku Almarokazy~u AlbiryTAny~u,albnku almrkzyu albrytanyu
10044,ومدلدل رجله,ومُدَلْدَلَ رِجْلِهِ,wmudalodala rijolihi,wmudldl rjlh
10045,وكل اللي كان بيقدر يحط إيده على إسترليني,وَكُلُّ اللّي كانَ بيُقَدَّرَ يَحُطُّ إيدَهُ عَلَى إِسْتِرْلينيٍّ,wakul~u All~y kAna byuqad~ara yaHuT~u <ydahu EalaY <isotirolyny~K,wkulu ally kan byuqdr yhutu iydhu ela istrlyny
10046,كان بيبيعه على المكشوف,كانَ بيَبيعُهُ عَلَى المَكْشوفِ,kAna byabyEuhu EalaY Almako$wfi,kan bybyeuhu ela almkshwf
10047,جوروج سوروس مثلا,جوروجْ سوروسْ مَثَلًا,jwrwjo swrwso mavalFA,jwrwj swrws mthla
10048,اللي كان بيتزعم عملية الهجوم على الإسترليني,اللّي كانَ بيَتَزَعَّمَ عَمَليَّةَ الهُجومِ عَلَى الإِسْتِرْلينيِّ,All~y kAna byatazaE~ama Eamaly~apa Alhujwmi EalaY Al<isotirolyny~i,ally kan bytzem emlyt alhujwm ela alistrlyny
10049,ضد الإسترليني,ضِدَّ الإِسْتِرْلينيِّ,Did~a Al<isotirolyny~i,dd alistrlyny
10050,في اليوم دا رفع قيمة الرهان بتاعه,في اليَوْمِ دا رَفْعِ قيمَةِ الرِّهانِ بِتاعِهِ,fy Alyawomi dA rafoEi qymapi Alr~ihAni bitAEihi,fy alywm da rfe qymt alrhan btaeh
10051,المهم وزير الخزانة لما لقى الوضع كدا,المُهِمُّ وَزيرُ الخِزانَةِ لِما لقى الوَضْعُ كَدا,Almuhim~u wazyru AlxizAnapi limA lqY AlwaDoEu kadA,almuhmu wzyru alkhzant lma lqa alwdeu kda
10052,رجع تاني بعد ساعة ونص من المكالمة الأولى,رَجَعَ تاني بَعْدَ ساعَةٍ وَنَصَّ مِنْ المُكالَمَةِ الأولَى,rajaEa tAny baEoda sAEapK wanaS~a mino AlmukAlamapi Al>wlaY,rje tany bed saet wns mn almukalmt alawla
10053,واتصل برئيس الوزراء وقال له,واتَّصَلَ بِرَئيسِ الوُزَراءِ وَقالَ لَهُ,wAt~aSala bira}ysi AlwuzarA'i waqAla lahu,watsl bryys alwuzrae wqal lhu
10054,يا ريس فكر تاني,يا ريسْ فِكْرْ تاني,yA ryso fikoro tAny,ya rys fkr tany
10055,في المكالمة دي ميجر استجاب أخيرا,في المُكالَمَةِ دي ميَجَّرُ اسْتَجابَ أَخيرًا,fy AlmukAlamapi dy myaj~aru AsotajAba >axyrFA,fy almukalmt dy myjru astjab akhyra
10056,لنصايح وزير الخزانة,لنُصايِحَ وَزيرِ الخِزانَةِ,lnuSAyiHa wazyri AlxizAnapi,lnusayh wzyr alkhzant
10057,بريطانيا أعلنت رفع سعر الفايدة,بِريطانْيا أَعْلَنَتْ رَفْعَ سِعْرِ الفايِدَةِ,biryTAnoyA >aEolanato rafoEa siEori AlfAyidapi,brytanya aelnt rfe ser alfaydt
10058,الكلام دا كان الصبح,الكَلامُ دا كانَ الصُّبْحَ,AlkalAmu dA kAna AlS~uboHa,alklamu da kan alsubh
10059,بعدها بساعات,بَعْدَها بِساعاتٍ,baEodahA bisAEAtK,bedha bsaeat
10060,رجعوا تاني رفعوا سعر الفايدة,رَجَعوا تاني رَفَعوا سِعْرَ الفايِدَةِ,rajaEwA tAny rafaEwA siEora AlfAyidapi,rjewa tany rfewa ser alfaydt
10061,وزير الخزانة البريطاني عمل مؤتمر صحفي,وَزيرُ الخِزانَةِ البِريطانيُّ عَمَلَ مُؤْتَمَرٍ صَحَفيٍّ,wazyru AlxizAnapi AlbiryTAny~u Eamala mu&otamarK SaHafy~K,wzyru alkhzant albrytanyu eml muwtmr shfy
10062,أعلن فيه خروج بلده,أَعْلَنَ فيهِ خُروجَ بَلَدِهِ,>aEolana fyhi xurwja baladihi,aeln fyh khurwj bldh
10063,من آلية سعر الصرف الأوروبية,مِنْ آليَّةِ سِعْرِ الصَّرْفِ الأوروبّيَّةِ,mino |ly~api siEori AlS~arofi Al>wrwb~y~api,mn alyt ser alsrf alawrwbyt
10064,وتعويم الإسترليني,وَتَعْويمَ الإِسْتِرْلينيِّ,wataEowyma Al<isotirolyny~i,wtewym alistrlyny
10065, اللي قيمته انخفضت بالفعل,اللّي قيمَتُهُ انْخَفَضَتْ بِالْفِعْلِ,All~y qymatuhu AnoxafaDato biAlofiEoli,ally qymtuhu ankhfdt balfel
10066,وبكدا كسبت صناديق التحوط الرهان,وبكَدا كَسَبَتْ صَناديقِ التَّحَوُّطِ الرِّهانِ,wbkadA kasabato SanAdyqi Alt~aHaw~uTi Alr~ihAni,wbkda ksbt snadyq althwut alrhan
10067,وحققت مكاسب ضخمة,وَحَقَّقَتْ مَكاسِبَ ضَخْمَةٍ,waHaq~aqato makAsiba DaxomapK,whqqt mkasb dkhmt
10068,جورج سوروس لوحده كسب مليار دولار,جورْجْ سوروسْ لِوَحْدِهِ كَسْبَ مِلْيارِ دولارٍ,jwrojo swrwso liwaHodihi kasoba miloyAri dwlArK,jwrj swrws lwhdh ksb mlyar dwlar
10069,من الرهان دا,مِنْ الرِّهانِ دا,mino Alr~ihAni dA,mn alrhan da
10070,وبنك إنكلترا في النهاية,وَبَنْكُ إِنْكِلْتَرا في النِّهايَةِ,wabanoku <inokilotarA fy Aln~ihAyapi,wbnku inkltra fy alnhayt
10071,ظهر في مظهر الفاشل,ظَهَرَ في مَظْهَرِ الفاشِلِ,Zahara fy maZohari AlfA$ili,zhr fy mzhr alfashl
10072,اللي ما قدرش يدافع عن سياساته,اللّي ما قدرشْ يُدافِعُ عَنْ سياساتِهِ,All~y mA qdr$o yudAfiEu Eano syAsAtihi,ally ma qdrsh yudafeu en syasath
10073,ولا عن قيمة الإسترليني,وَلا عَنْ قيمَةِ الإِسْتِرْلينيِّ,walA Eano qymapi Al<isotirolyny~i,wla en qymt alistrlyny
10074,وانهزم قدام المضاربين,وانْهَزَمَ قُدّامَ المُضارِبينَ,wAnohazama qud~Ama AlmuDAribyna,wanhzm qudam almudarbyn
10075,أهو نفس اللي اتعمل مع بنك إنكلترا,أَهوَ نَفْسُ اللّيَّ اتعملْ مَعَ بَنْكِ إِنْكِلْتَرا,>ahwa nafosu All~y~a AtEmlo maEa banoki <inokilotarA,ahw nfsu ally ateml me bnk inkltra
10076,مجموعة من صناديق التحوط,مَجْموعَةٌ مِنْ صَناديقِ التَّحَوُّطِ,majomwEapN mino SanAdyqi Alt~aHaw~uTi,mjmwet mn snadyq althwut
10077,وشركات إدارة الأصول,وَشَرِكاتُ إِدارَةِ الأُصولِ,wa$arikAtu <idArapi Al>uSwli,wshrkatu idart alauswl
10078,بتحاول تعمله النهار دا,بِتُحاوِلْ تَعْمَلُهُ النَّهارُ دا,bituHAwilo taEomaluhu Aln~ahAru dA,btuhawl temluhu alnharu da
10079,مع البنك المركزي الياباني,مَعَ البَنْكِ المَرْكَزيِّ اليابانيِّ,maEa Albanoki Almarokazy~i AlyAbAny~i,me albnk almrkzy alyabany
10080,دي عينة من الشركات والصناديق,دي عَيِّنَةَ مِنْ الشَّرِكاتِ والصَّناديقِ,dy Eay~inapa mino Al$~arikAti wAlS~anAdyqi,dy eynt mn alshrkat walsnadyq
10081,اللي بتراهن النهار دا,اللّي بِتُراهِنَ النَّهارَ دا,All~y biturAhina Aln~ahAra dA,ally bturahn alnhar da
10082,ضد سندات الحكومة اليابانية,ضِدَّ سَنَداتِ الحُكومَةِ اليابانيَّةِ,Did~a sanadAti AlHukwmapi AlyAbAny~api,dd sndat alhukwmt alyabanyt
10083,وبتبيعها في السوق على المكشوف,وَبِتَبيعِها في السّوقِ عَلَى المَكْشوفِ,wabitabyEihA fy Als~wqi EalaY Almako$wfi,wbtbyeha fy alswq ela almkshwf
10084,ودي بالمناسبة شركات مش سهلة,وُدّيٌّ بِالْمُناسَبَةِ شَرِكاتٌ مَشَّ سَهْلَةً,wud~y~N biAlomunAsabapi $arikAtN ma$~a saholapF,wudy balmunasbt shrkat msh shlt
10085,على سبيل المثال,عَلَى سَبيلِ المِثالِ,EalaY sabyli AlmivAli,ela sbyl almthal
10086,بتدير أصول قيمتها بتتجاوز,بِتُديرَ أُصولُ قيمَتِها بِتَتَجاوَزَ,bitudyra >uSwlu qymatihA bitatajAwaza,btudyr auswlu qymtha bttjawz
10087,معاها تريليون دولار,مَعاها تِريلْيونَ دولارٍ,maEAhA tiryloywna dwlArK,meaha trylywn dwlar
10088,تحت تصرفها,تَحْتَ تَصَرُّفِها,taHota taSar~ufihA,tht tsrufha
10089,ممكن تحركه في أي اتجاه,مُمْكِنٌ تُحَرِّكُهُ في أَيِّ اتِّجاهٍ,mumokinN tuHar~ikuhu fy >ay~i At~ijAhK,mumkn tuhrkuhu fy ay atjah
10090,وبالتالي لما شركات وصناديق ضخمة زي دي,وَبِالتّالي لِما شَرِكاتٌ وَصَناديقَ ضَخْمَةٍ زيَّ دي,wabiAlt~Aly limA $arikAtN waSanAdyqa DaxomapK zy~a dy,wbaltaly lma shrkat wsnadyq dkhmt zy dy
10091,تراهن بفلوسها ضد اليابانيين,تُراهِنُ بِفُلوسِها ضِدَّ اليابانيّينَ,turAhinu bifulwsihA Did~a AlyAbAny~yna,turahnu bfulwsha dd alyabanyyn
10092,يبقى لازم نقف وقفة ونسأل,يَبْقَى لازِمْ نَقِفَ وَقْفَةً وَنَسْأَلُ,yaboqaY lAzimo naqifa waqofapF wanaso>alu,ybqa lazm nqf wqft wnsalu
10093,هم بيعملوا كدا ليه ,هُمْ بيعملوا كَدا ليهْ,humo byEmlwA kadA lyho,hum byemlwa kda lyh
10094,بص,بَصَّ,baS~a,bs
10095,الأساس المنطقي للرهانات دي,الأَساسُ المَنْطِقيِّ لِلرِّهاناتِ دي,Al>asAsu AlmanoTiqy~i lilr~ihAnAti dy,alasasu almntqy llrhanat dy
10096,بسيط جدا,بَسيطٌ جِدًّا,basyTN jid~FA,bsyt jda
10097,باختصار الشركات دي شايفة,بِاخْتِصارٍ الشَّرِكاتِ دي شايِفَةٌ,biAxotiSArK Al$~arikAti dy $AyifapN,bakhtsar alshrkat dy shayft
10098, إن اليابان في ورطة,إِنَّ اليابانَ في وَرْطَةٍ,<in~a AlyAbAna fy waroTapK,in alyaban fy wrtt
10099,والورطة دي هي انهيار سعر الين,والْوَرْطَةُ دي هيَ انْهيارُ سِعْرِ اليِنَ,wAlowaroTapu dy hya AnohyAru siEori Alyina,walwrttu dy hy anhyaru ser alyn
10100,وتراجعه السريع من بداية السنة,وَتَراجُعَهُ السَّريعُ مِنْ بِدايَةِ السَّنَةِ,watarAjuEahu Als~aryEu mino bidAyapi Als~anapi,wtrajuehu alsryeu mn bdayt alsnt
10101,في يونيو اللي فات سعر صرف الين,في يونْيو اللّي فاتَ سِعْرُ صَرْفِ اليِنَ,fy ywnoyw All~y fAta siEoru Sarofi Alyina,fy ywnyw ally fat seru srf alyn
10102,قدام الدولار,قُدّامَ الدّولارِ,qud~Ama Ald~wlAri,qudam aldwlar
10103,الصناديق والمضاربين الدوليين,الصَّناديقُ والْمَضارِبينَ الدَّوْليّينَ,AlS~anAdyqu wAlomaDAribyna Ald~awoly~yna,alsnadyqu walmdarbyn aldwlyyn
10104,شايفين بقى إن الحل الوحيد,شايِفَيْنِ بَقَّى إِنَّ الحَلَّ الوَحيدَ,$Ayifayoni baq~aY <in~a AlHal~a AlwaHyda,shayfyn bqa in alhl alwhyd
10105,قدام البنك المركزي الياباني,قُدّامَ البَنْكِ المَرْكَزيِّ اليابانيِّ,qud~Ama Albanoki Almarokazy~i AlyAbAny~i,qudam albnk almrkzy alyabany
10106,هو إنه يبطل عناد ويرفع سعر الفايدة,هوَ إِنَّهُ يُبْطِلُ عِنادُ وَيَرْفَعُ سِعْرُ الفايِدَةِ,hwa <in~ahu yuboTilu EinAdu wayarofaEu siEoru AlfAyidapi,hw inhu yubtlu enadu wyrfeu seru alfaydt
10107,ومتأكدين إنه عاجلا أو آجلا,وَمُتَأَكِّدينَ إِنَّهُ عاجِلًا أَوْ آجِلًا,wamuta>ak~idyna <in~ahu EAjilFA >awo |jilFA,wmutakdyn inhu eajla aw ajla
10108,حيعمل كدا غصبا عنه,حيعملْ كَدا غَصْبًا عَنْهُ,HyEmlo kadA gaSobFA Eanohu,hyeml kda ghsba enhu
10109,علشان ينقذ الين,عَلَشانُ يُنْقِذَ اليِنَ,Eala$Anu yunoqi*a Alyina,elshanu yunqdh alyn
10110,وعلى هذا الأساس,وَعَلَى هَذا الأَساسِ,waEalaY ha*A Al>asAsi,wela hdha alasas
10111,بيبيعوا السندات اليابانية على المكشوف,بيبيعوا السَّنَداتِ اليابانيَّةِ عَلَى المَكْشوفِ,bybyEwA Als~anadAti AlyAbAny~api EalaY Almako$wfi,bybyewa alsndat alyabanyt ela almkshwf
10112,وقبل ما أكمل كلامي,وَقَبْلَ ما أَكْمَلَ كَلامي,waqabola mA >akomala kalAmy,wqbl ma akml klamy
10113,علشان بس تبقوا معايا في الصورة,عَلَشانِ بَسَّ تُبْقواُ مَعايا في الصّورَةِ,Eala$Ani bas~a tuboqwAu maEAyA fy AlS~wrapi,elshan bs tubqwau meaya fy alswrt
10114,ضروري تعرفوا إن اليابان عندها,ضَروريٌّ تُعْرَفوا إِنَّ اليابانَ عِنْدَها,Darwry~N tuEorafwA <in~a AlyAbAna EinodahA,drwry tuerfwa in alyaban endha
10115,أدنى معدل فايدة في العالم,أَدْنَى مُعَدَّلٍ فايِدَةٍ في العالَمِ,>adonaY muEad~alK fAyidapK fy AlEAlami,adna muedl faydt fy alealm
10116,البلد دي,البَلَدُ دي,Albaladu dy,albldu dy
10117,بطلة العالم في الفايدة المنخفضة,بَطَلَةُ العالَمِ في الفايِدَةِ المُنْخَفِضَةِ,baTalapu AlEAlami fy AlfAyidapi AlmunoxafiDapi,btltu alealm fy alfaydt almunkhfdt
10118,وخليني أديكم مثال,وَخَلّيني أَدَّيُكُمْ مِثالٌ,waxal~yny >ad~ayukumo mivAlN,wkhlyny adyukum mthal
10119,وإحنا بنصور دلوقت,وَإِحْنا بنُصورٍ دلوقتْ,wa<iHonA bnuSwrK dlwqto,wihna bnuswr dlwqt
10120,اليابانيين بيدوا على السندات بتاعتهم,اليابانيّينَ بَيْدوا عَلَى السَّنَداتِ بِتاعِتُهُمْ,AlyAbAny~yna bayodwA EalaY Als~anadAti bitAEituhumo,alyabanyyn bydwa ela alsndat btaetuhum
10121,اللي ليها أجل استحقاق سنتين,اللّي ليها أَجْلِ اسْتِحْقاقِ سَنَتَيْنِ,All~y lyhA >ajoli AsotiHoqAqi sanatayoni,ally lyha ajl asthqaq sntyn
10122,يعني تسلفهم وتدفع لهم كمان,يَعْني تَسَلَّفَهُمْ وَتَدْفَعَ لَهُمْ كَمانْ,yaEony tasal~afahumo watadofaEa lahumo kamAno,yeny tslfhum wtdfe lhum kman
10123,اركن بقى اليابان على جنب كدا,ارَّكِن بَقَّى اليابانِ عَلَى جَنْبٍ كَدا,Ar~akin baq~aY AlyAbAni EalaY janobK kadA,arkn bqa alyaban ela jnb kda
10124,وتعالى نبص على عوائد نفس السندات,وَتَعالَى نَبَصُ عَلَى عَوائِدَ نَفْسِ السَّنَداتِ,wataEAlaY nabaSu EalaY EawA}ida nafosi Als~anadAti,wteala nbsu ela ewayd nfs alsndat
10125,في الدول المتقدمة التانية,في الدّوَلِ المُتَقَدِّمَةِ التّانيةْ,fy Ald~wali Almutaqad~imapi Alt~Anypo,fy aldwl almutqdmt altanyt
10126,في أمريكا بيدوا على سندات السنتين,في أَمْريكا بَيْدوا عَلَى سَنَداتِ السَّنَتَيْنِ,fy >amorykA bayodwA EalaY sanadAti Als~anatayoni,fy amryka bydwa ela sndat alsntyn
10127,وفي ألمانيا العائد على سندات السنتين,وَفي أَلْمانْيا العائِدِ عَلَى سَنَداتِ السَّنَتَيْنِ,wafy >alomAnoyA AlEA}idi EalaY sanadAti Als~anatayoni,wfy almanya aleayd ela sndat alsntyn
10128,فالعائد عليها وإحنا بنصور,فالْعائِدُ عَلَيْها وَإِحْنا بنُصورٍ,fAloEA}idu EalayohA wa<iHonA bnuSwrK,faleaydu elyha wihna bnuswr
10129,أظن واضح من الأرقام دي,أَظُنُّ واضِحٌ مِنْ الأَرْقامِ دي,>aZun~u wADiHN mino Al>aroqAmi dy,azunu wadh mn alarqam dy
10130,إن اليابان في حتة لوحدها,إِنَّ اليابانَ في حِتَّةِ لِوَحْدِها,<in~a AlyAbAna fy Hit~api liwaHodihA,in alyaban fy htt lwhdha
10131,باختصار الفايدة في البلد دي قريبة من الصفر,بِاخْتِصارٍ الفايِدَةِ في البَلَدِ دي قَريبَةٌ مِنْ الصِّفْرِ,biAxotiSArK AlfAyidapi fy Albaladi dy qarybapN mino AlS~ifori,bakhtsar alfaydt fy albld dy qrybt mn alsfr
10132,ودا شيء البلد ملتزمة بيه,وُدًّا شَيْءَ البَلَدِ مُلْتَزِمَةٌ بيهْ,wud~FA $ayo'a Albaladi mulotazimapN byho,wuda shye albld multzmt byh
10133,في إطار سياستها النقدية الشهيرة,في إِطارِ سياسَتِها النَّقْديَّةِ الشَّهيرَةِ,fy <iTAri syAsatihA Aln~aqody~api Al$~ahyrapi,fy itar syastha alnqdyt alshhyrt
10134,أو التحكم في منحنى العائد,أَوْ التَّحَكُّمِ في مُنْحَنًى العائِدِ,>awo Alt~aHak~umi fy munoHanFY AlEA}idi,aw althkum fy munhna aleayd
10135,في إطار السياسة دي المركزي الياباني,في إِطارِ السّياسَةِ دي المَرْكَزيِّ اليابانيِّ,fy <iTAri Als~yAsapi dy Almarokazy~i AlyAbAny~i,fy itar alsyast dy almrkzy alyabany
10136,ملتزم مثلا,مُلْتَزِمٌ مَثَلًا,mulotazimN mavalFA,multzm mthla
10137,دلوقت بقى الجماعة اللي بيراهنوا,دلوقتْ بَقَّى الجَماعَةِ اللّي بيراهنوا,dlwqto baq~aY AljamAEapi All~y byrAhnwA,dlwqt bqa aljmaet ally byrahnwa
10138,ضد السندات اليابانية,ضِدَّ السَّنَداتِ اليابانيَّةِ,Did~a Als~anadAti AlyAbAny~api,dd alsndat alyabanyt
10139,شايفين إن تمسك بنك اليابان,شايِفَيْنِ إِنَّ تَمَسُّكَ بَنْكِ اليابانِ,$Ayifayoni <in~a tamas~uka banoki AlyAbAni,shayfyn in tmsuk bnk alyaban
10140,بسياسة التحكم في منحنى العائد,بِسياسَةِ التَّحَكُّمِ في مُنْحَنًى العائِدِ,bisyAsapi Alt~aHak~umi fy munoHanFY AlEA}idi,bsyast althkum fy munhna aleayd
10141,وإبقاءه لأسعار الفايدة عند المستويات دي,وَإِبْقاءَهُ لِأَسْعارِ الفايِدَةِ عِنْدَ المُسْتَوَياتِ دي,wa<iboqA'ahu li>asoEAri AlfAyidapi Einoda AlmusotawayAti dy,wibqaehu lasear alfaydt end almustwyat dy
10142,ما عادش ينفع في ظل الظروف الحالية,ما عادشْ يَنْفَعَ في ظِلِّ الظُّروفِ الحاليَّةِ,mA EAd$o yanofaEa fy Zil~i AlZ~urwfi AlHAly~api,ma eadsh ynfe fy zl alzurwf alhalyt
