index,Text
00074,ما وصلتش للخرم بس يعني كانت بتبقى يعني مستهلكة يعني وأول ما بقى معايا فلوس أنا فاكر أوي
00075,أول مابقى معايا فلوس سافرت برة وعملت كده كنت يعني كنت يعني عندي أوضة فيها جزم يعني يعني كنت
00076,يقولولي أمي تقولي ايه الجزم دي كلها أقولها عندي عقدة يا أمي عندي عقدة من الموضوع
00077,فاكر كنت في مدرسة كنت في مدرسة في إسكندرية فرنساوي كنت كنت مثلا أعمل بلوفر ألبس غالبا ألبس واحد أو أتنين في السنة
00078,وكانت الناس أنت يا عم لابس نفس البلوفر كل يوم وكان عندي مدرسة فرنساوي كانت تقولهم اه
00079,أحمد لابس نفس البلوفر بس شكله نضيف كانت طبعا بتحاول تدافع عني يعني عشان يوقفوا تنمر عليا
00080,تاني مشروع بعد كده بعد الحيوانات دي بدأت أربي سمك
00081,وبدأت أربي سمك تقريبا وأنا عندي  سنة وبدأت أبقى
00082,أبقى معايا فلوس كتير أوي أوي أوي من السمك ده بدأت أشوف السلالة وكان عندي واحد صاحبي بيسافر النمسا
00083,يجيب لي كتب وأقعد أقرا كتب عشان أشوف السلالة ايه  يعني كنت بورد  سمك زينة يعني اه سمك زينة بس كنت متخصص جدا في نوعين من السمك
00084,وكنت بطلع السمكة دي بالسلالة لما كنش فيه أنترنت ما كانش فيه حاجة خالص فكنت لازم تجيب كتب
00085,وما كانش في ناس عندها إمكانية الوصول للكتب  أوكي  والناس اللي بيشتغلوا في الموضوع ده ما كانوش بيعرفوا إنجليزي كويس فما كانوش حتى يعرفوا يقروا كتاب بالإنجليزي
00086,بوما كانش في كتب بالعربي في الحاجات دي فكنت عامل السلالة وأطلع مثلا حد أوتيل عايز
00087, سمكة في الحوض لون واحد غريب وعنده نقطة مش عارف ايه تحت عينيه فكنت أطلعلهم السلالة ده بعد ست شهور سبع شهور
00088,أطلعلهم السلالة دي وأبيعهلهم طبعا السمكة بنص جنيه يعني بس كنت ببيبعهلهم
00089,كنت بكسب فلوس بيتهيألي كنت بكسب ساعتها وأنا عندي  سنة لو أنا مش غلطان حوالي  جنيه في الشهر وكانت
00090, فلوس كتير جدا  طبعا ايه ده ده كان  فلوس كتير جدا جدا جدا  ده رقم طبعا  ده رقم  طبعا وكانت كنت
00091,ما كنتش باخد فلوس من أبويا بقى من وأنا عندي  ما كنتش باخد فلوس من أبويا خالص ما كنتش باخد مصروف خالص ما كنتش بحب حد يجيب لي حاجة خالص
00092,لدرجة أبويا كان بيرجع البيت يقول لأمي أبويا ما كانش على علاقة كويسة مع أمي
00093,كان يقولها أبنك لازم تشوفي ابنك ده الله يرحمه يا رب كان من
00094,من أهم الناس عندي بس ما كنتش علاقتي فظيعة بيه وما كنتش علاقتي كويسة أوي بيه
00095,كان يقولها ابنك بيتاجر في المخدرات يا هانم  عارف أنت اللي اه ما هو أكيد ما هو أصل  ابنك بيتاجر في المخدرات  فجأة لبسه أتحسن وبتاع ده فأكيد في حاجة
00096, لا لا  لا ماكنتشأنا لبسي متحسنش ولا حاجة بتجيب  جنيه في الشهر أنت فاهم الرقم ده
00097,كان الموضوع شوية غريب لإن كنت مثلا الجنينة عندي حاطط فيها كنت بروح أجيب البانيوهات القديمة
00098, من البيوت اللي هما باعوا البانيوهات اه أوكي وأجيب مثلا كان عندي حاجة وعشرين بانيو أحواض السمك كنت بقى بعملها بنفسي أنا عندي مثلا  حوض سمك
00099,بمواتير بدل ما المواتير دي تبقي صغيرة كنت بجيب مواتير كبيرة وأوصلهم ببعض  كان عندي السطح  أنت عملت معمل
00100,السطح فيه مثلا يعني حقيقي عشرات الألاف من السمك موجودين بأحواض بزرع
00101,بحاجات فكانت صناعة يعني وكنت بدخل فلوس كويسة أوي فما كنتش محتاج حد خالص
00102,يعني يديني فلوس فكان طبعا وهو كان نفسه أشتغل معاه
00103,فكان طبعا كان هيتجنن الله يرحمه الموضوع دوت يعني وبعدين جيت في ثانوية عامة بقى خلاص
00104,إنسحبت من البيزنس ده وكنت شوية مركز أخر كام شهر في المزاكرة وأنا كنت بحب
00105,كنت بحب التعليم شوية يعني ماكنتش ماكنتش بكره التعليم وذاكرت ودخلت كلية هندسة طبعا
00106,دخلت كلية هندسة من هنا كل حاجة كل حاجة إتعطلت
00107,اه ما كانش عندي بيزنس وما كانش عندي كمان بعد إعدادي هندسة
00108,بعد أولى هندسة في أولى الهندسة ما كنتش موجود في البيت وكنت كنت بقى مشغول في البيت بتاع اهلي كان
00109,كنت موجود في البيت لوحدي عند خالي أوضة نوم واحدة في سموحة
00110,كنت بأضطر أمشي لغاية الجامعة هصعب عليكم يعني بس كنت بأضطر أتمشي لحد الجامعة
00111,لإنه ما كانش أقدر أدفع حتى المواصلات يعني كنت بتمشى لغاية الجامعة
00112,لمدة ساعة أو  دقيقة لان ما كانش معايا فلوس أروح طبعا ما كنش في عربية ولا حاجة خالص من الكلام ده خالص
00113,سنة قبليها كنت مع أبويا في البيت اللي هو إعدادي هندسة طبعا إبنه دخل هندسة
00114,فكان بيحاول يدلعه على قد ما يقدر عشان ما يفلتش منه فكان جايب لي عربية وكل حاجة تمام
00115,والدنيا كانت لمدة السنة دي يعني الدنيا اللي أنت عايزه هيجي لك لغاية عندك يعني
00116,بس سبت البيت وبدأت بقى خالص يعني رحلة
00117,رحلة الصفر فعلا شوية كان عندي شك اللي ما كانش عاجبني بعد إعدادي هندسة
00118,كان عندي شك في نفسي شوية يا نهار أبيض ده أنا شوية شكلي مش هعملها ولا حاجة ده أنا شكلي كده مش هعرف أعمل اللي أنا عايزه
00119,بصراحة رجعت لي الثقة تاني في نفسي على طول بعد سنة أولى هندسة وقلت لأ أنا هعملها
00120,غيرت قسم كنت في قسم عمارة غيرت قسم رحت قسم إنتاج وتخصصت في الهندسة الصناعية
00121,وأول ما دخلت رجعت لي الثقة جدا جدا جدا في نفسي
00122,وقولت معيش فلوس النهاردة بس هعمل فلوس بعد كده ما عنديش نجاح النهاردة بس هعمل نجاح بعد كده
00123,وده كان وده اللي بيغيره بصراحة يعني الواحد بيكرمه
00124,بحاجات في حياته بتغير له حياته أو بتدفعه علشان يكمل لما بيجي يبقى مكتئب أو بيجي ينزل شوية
00125,كان عندي معيد في الجامعة كان عندي مدرس أسف دكتور في الجامعة ربنا يكرمه يا رب بجد دكتور حمدي علواني ده
00126,كان يخش عليا المحاضرة يقولي أنت مختوم حمدي علواني أي محاضرة يقولي أنت مختوم حمدي علواني
00127,وكان راجل ما حصلش يعني ما شفتوش بقالي كتير أوي ما شفتوش يمكن من  سنة بس يعني
00128,الراجل ما حصلش كان يقول لي أنت مختوم حمدي علواني فكان يديني إمتياز قبل ما أخش الأمتحان
00129, ايه ده  عارف إن ده مش عادل خالص ويقولي أنت كده كده أنت أنت إمتياز أنت مختوم حمدي علواني
00130,فطبعا الطبيعي إن أنا ما ذاكرش كنت بموت نفسي بقى يعني هو يقولي كده أنا كنت بموت نفسي مش
00131, مش إمتياز أنا بخش مش عايز أسيب درجة  أستحق الأمتياز اللي اديتهولي كنت بحبه جدا جدا جدا وكان مقتنع بيا جدا وبصراحة
00132,هو اللي حببني في التعليم أوي في هندسة وخلاني أقتنع إنه لأ أنا أنا جوايا حاجة وهطلع الحاجة دي
00133,وقريب جدا وده اللي أنا عايز أطلعه في الناس لإنه لازم يبقى في حد عندهم يقولهم أنتم هتوصلوا أنت هتوصل في كده
00134,مش لازم كل واحد يوصل يبقى رائد أعمال ورجل أعمال مش لازم يبقى كل واحد يوصل يبقى لأ كل واحد عنده حاجة ممكن
00135,يعني ممكن تطلع يعني يعني مش لازم يبقى كل واحد رجل أعمال ماهو لو كل الناس رجال أعمال ما فيش حد هيشتغل
00136, ممكن تبقى حاجة إبداعية ممكن تبقى  اه ممكن واحد يبقى مبدع في حاجة ممكن واحد يبقى مدير تنفيذي ما حصلش
00137,يعني ما هو المدير التنفيذي ما ينفعش مش هو رجل الأعمال ورجل الاعمال مش هو المدير التنفيذي  صح  ممكن كل حاجة
00138,بس لازم يبقى في حد بيوجه إن بيطلع أحسن حاجة فيك انت تعرف تعمل ايه أحسن حاجة
00139,وده كان حظي حلو أوي إن دكتور حمدي علواني ده طلعها فيا
00140,بعد الجامعة وما كنتش خايف في الجامعة كنت كويس في الجامعة
00141,أشتغلت بعد كده درست شوية في الجامعة أقل من سنة ست شهور في الجامعة المصرية
00142,كنت بروح أدي محاضرات عملية و ست شهور في جامعة خاصة
00143,كنت برضو ست شهور كنت في الجامعة المصرية بروح الجامعة المصرية
00144,وأنا ما كنتش خايف كنت بدرس هندسة إقتصادية وما كتش خايف كنت بروح
00145,محضر كويس جدا جدا جدا المحاضرة العملية اللي هديها جدا
00146,لإنه العيال متوحشين لو أنا مش محضر كويس جدا هيكسفوني وهيبهدلوني مش هيسيبوا في حتة سليمة
00147,وعندهم أذكياء جدا بدرجة مش معقولة عيال جاية بقى من دمنهور راكب القطر ساعتين
00148,هو ما بيعملش حاجة في حياته غير ان هو بيذاكر وما بيعملش حاجة في حياته غير ده  دي حياته اه  وبعدين رحت الجامعة الخاصة
00149,وكان مرتب أعلى أنا كان مرتبي  جنيه فكان
00150,كنت بسهر بقى لغاية الصبح و أروح مش محضر حاجة خالص وأروح أدي كلمتين
00151, في الخاصة  اه في الخاصة وكله زي الفل ومفيش حد خالص مفيش حاجة خالص
00152,والدنيا ماشية يعني اه الدنيا ماشية  وصباح الفل اه صباح الفل يعني وبعد كده إشتغلت في شركة
00153,متعددة الجنسيات لمدة سنتين
00154,كل ده ما كانش معايا فلوس خالص الجامعة الخاصة رحتها
00155,اما رحت الجامعة الخاصة كنا بنقعد قعدة عند جدتي أم أمي يوم الخميس
00156,وكان فيها ناس كتير بيجو من والعيلة خالاتي وكده فكان وأنا ماشي من الجامعة دي
00157,فيقولوا لي ايه ايه ده أنت مجنون أنت ماشي الجامعة الحكومي ورايح الجامعة الخاصة
00158,دي فضيحة أنت ايه اللي أنت بتعمله ده فأمي تبصلهم كده أمي ست بسيطة أوي
00159,تقولهم أنتم مش فاهمين هو أنتم مش فاهمين دماغه ده في حاجة كبيرة أوي أوي أوي في دماغه
00160,وعايز يعمل حاجة أنتم مش فاهمينها كلكم  فهي كانت مأمنة  اه  وشايفة  طبعا وأنا وراها
00161,يا نهار أبيض أنا أصلا مش عارف أنت بتقولي ايه أنا ما فيش حاجة خالص دماغي أنا دماغي فاضية فأنا مش عارف أنت بتقولي ايه بس
00162,بس يعني أوكي فأروح البتاعة التانية رحت الجامعة المهم ماشي
00163,ورحت الجامعة دي عشان بس ايه في أتوبيس بيوصلني لغاية الجامعة ففي مواصلات ببلاش ماجستر ببلاش
00164, في حبة حاجات كدة أساسية يعني  سالكة سالكة فرحت سبت الجامعة بقى الخاصة دي ورحت إشتغلت في
00165,شركة متعددة الجنسيات يوم الخميس أنت مجنون سايب التعليم
00166,وتبقى مش عارف ايه دكتور ورايح تشتغل موظف في مش عارف ايه والمرتب كان  جنيه مثلا
00167, فمش فارقة أوي  معرفش المفروض أقول أسم الشركة ولا لأ بس كانت شركة يونيليفر أنت مجنون
00168,فأمي برضو تقولهم أنتم مش فاهمين هو بيعمل ايه ده في حاجة كبيرة أوي أوي في دماغه احنا كلنا مش شايفينها طب أنتي شايفاها
00169, لأ أنا مش شايفاها بس يعني  بس هنكتشفها مع بعض  بس ده هيبقى حاجة كبيرة  حساها حساها وأنا أقول يا ربي مش عارف ايه الحاجة أم الكبيرة دي
00170,اللي في دماغي دي اللي أنا مش شايفها أصلا قعدت في يونيليفر سنتسن
00171,وإتعلمت كتير أوي أوي أوي أوي مدرسة بجد مدرسة  ده كان في ايه مبيعات ولا في ايه  لأ لأ ده كنت عمليات
00172,كنت قطاع الأغذية وكنت يعني الحمد لله رب العالمين كرم
00173,مش عايز أقول محظوظ جدا لإن أنا مش بؤمن أوي بالحظ بس كنت كنت بروح
00174,لغاية اغسطس كنت دخلت في يناير  في أغسطس عملت وأنا كنت كويس في الأرقام أنا طول عمري كويس في الأرقام شوية
00175,فعملت عرض وكنت أقل واحد بشتغل في أصحابي وأصحابي لدرجة قالولي أنت هتفضحنا على فكرة بقى
00176,أنت خريج هندسة إسكندرية وإحنا اللي جايبينك واحنا اللي قولنالك تيجي حتى واحد عملي السي في والتاني ملالي أبلكيشن
00177,وما عملش حاجة خالص قعدت في البيت ولقيتهم زقني في يونيليفر وأنا مش في دماغي خالص
00178,هما دول بقوا أنت كده هتعملنا فضيحة أنت بتيجي في معادك وتمشي وبتاع ما تشتغل شوية يا أحمد وبتاع
00179,أقولهم أوكي وأنا كنت بس كنت بتواصل مع ناس يعني أنا عرفت إن التواصل
00180, مهم جدا جدا جدا التواصل مع الناس  طبعا طبعا فكنت بتوصل مع الناس أروح أشرب مع ده قهوة وأعرف ده بيعمل ايه وقسم الموارد البشرية بيعمل ايه
00181,وقسم التخطيط بيعمل ايه وهنا بيعمل ايه وده بيعمل ايه وده بيعمل ايه كنت بحب أشوف يعني كنت سايب المصنع
00182,اللي هو شغلتي وبعمل كل حاجة تانية  الفضول مفيد  اه
00183,فطبعا كانوا فطبعا الحمد لله يا رب في اغسطس لقيت مرة واحدة كده كنت بعمل عرض
00184,لقيتهم بينادوني بيقولوا لي أنت هتبقى مدير العمليات
00185, ايه  إزاي مدير عمليات دي كانت ساعتها مستوى
00186,صحابي اللي هما كانوا شاطرين أوي دول أنا كنت تلات مستويات فوقيهم
00187,يعني هما كانوا مثلا تحت إدارة لمدير خط وبعدين مدير الخط تحت إدارة مدير إنتاج
00188, ومدير الإنتاج ده تحت إدارة مدير العمليات  أوكي يعني كنت تلات مستويات أعلى مع إنهم كانوا داخلين قبليا بسنة اوكي
00189,فكان يعني طبعا العيال في واحد فيهم يعني لغاية دلوقتي حبيبي وكل حاجة بس يعني
00190,يعني اد ايه الحياة مش عادلة أنت كنت جاي بتلعب تمن شهور وأنا بقالي سنة وتمن شهور
00191,وأنت بقيت تلات مستويات فوقية يعني يعني هيموت نفسه وأنا برضو كنت شايفها مش عدل بصراحة
00192,لغاية اما عرفت ايه معنى الكلام ده عشان كده بقولك  درجة عشان كده الكلام اللي احنا قلناه
00193,إن الولاد لما تتعلم على كل الأصعدة و شايفين كل حاجة مهم جدا جدا الإنتشار مهم جدا جدا جدا مش مجرد الشغلانة بس
00194,الإنتشار اتخصص اه أبقى في الأخر مدير مصنع بس اتخصص ابقى عارف كل الحاجات التانية ايه
00195, طبعا  أبقى عارف الناس التانية كلها بتعمل ايه مش مدير مصنع خليني مدير مصنع أبقى عارف الدورة كلها بتمشي ازاي
00196,وأتعينت مدير عمليات ومشيت ومشيت بعديها بسنة وأربع شهور يعني مشيت في اخر 
00197,وبعدين مشيت وقولت بقى ايه لأ أنا هعمل بقى إمبراطورية أنسى الكلام الفاضي ده ده أنا أذكى واحد في الدنيا
00198,وهعمل إمبراطورية حاجة ما حصلتش في التاريخ  أنت مشيت بمزاجك ولا  اه لا مشيت بمزاجي مشيت مزاجي وقعدوا يقولوا لي أنت مجنون هتمشي طبعا رحت يوم الخميس
00199,ايه ده إزاي ده مدير عمليات أنت مجنون طبعا أمي
00200, أمك  أنتم مش فاهمين حاجة خالص  محدش فاهم محدش فاهم  والله يا ماما أنا مش فاهم حاجة أنا كمان
00201, لأ أنا كنت ساعتها بقى فاهم  إبتديت أفهم بقى لا كنت فاهم خلاص مش بدأت أفهم كنت فاهم
00202,وطلعت حمار قعدت ست شهور مش عارف أدفع يعني
00203,فاتورة التليفون مش عارف فتحت مكتبي بقى  وبعدين بقى بموت  مكتب ايه
00204, مكتب ايه  مكتب توكيلات صناعية بعمل مصانع الأغذية قولت مثلا يبقى نقص مثلا
00205,قولت ساعتها سنة أخر تمانية وتسعين كان في
00206,مثلا حاجات زي الصلصة الطماطم قعدت عملت دراسات
00207,وقولت والله الطماطم في مصر بتترمى  منها بيترمى و 
00208,لم ينتج بشكل جيد وبنصنع  من الإنتاج بتاعنا واحنا من أكبر خمس بلاد في العالم
00209,في زراعة الطماطم كنا بنزرع ساعتها سنة  أخر  كنا بنزرع حوالي خمسة
00210,وشوية مليون طن وكان ترتيبنا جامد بعد الصين وكاليفورنيا لإن كاليفورنيا هي الأساس
00211,يعني أمريكا و وكنا بين تركيا وإيطاليا يعني
00212,يعني ساعات تركيا كانت بتسبقنا وإيطاليا ساعات بنسبقها وساعات هي تسبقنا
00213,فكنا بلد جامدة جدا جدا في الموضوع وأنت متخيل بقى إسرائيل بتصنع حاجة وسبعين في المية من الطماطم بتاعتها يعني
00214,أنت متخيل بقي يعني واحنا بنصنع  فأنا قررت لا أنا هعمل مصانع طماطم هبتدي بمصانع الطماطم بدأت أعمل دراسة مشروع
00215,لأي مصنع يتعمل إزاي وأجيب مستثمرين وحطيت مصانع وقولت لأ أنا هعلي بدل ما الطماطم دي تترمى
00216,وده هادر لمصر لأ هجيب وأصنع الحاجات دي كلها وبدأت أعمل دراسات كلية وجزئية
00217,للمشاريع وبدأت أعملها ومبدأتش أبيع المكن كمكن بدأت آخد توكيلات وأبيع
00218,المشروع كله بالمشتري بمين هياخده منهم وهكذا وده كان أول بيزنس عملته طبعا
00219,أتعذبت عذاب غير طبيعي رحت لمدير الموارد البشرية بتاعة يونيليفر قولتلها أبوس رجلك
00220, رجعيني  رجعيني  أنا أسف  أنا أسف  أبوس رجلك  أرجع تلاتة خطوات لورا ماشي
00221,بجد كنت مستعد أعمل أي حاجة بس رجعيني رجعيني أبوس رجلك
00222,رحت لصحابي قولتلهم يا جماعة بقى مفيش هزار رجعوني راح بلغهم الرسالة اللي كان بيدير الشركة ساعتها
00223,راجل ما حصلش في التاريخ قال لا أولا لو عملنا كده
00224, هو هيمشي تاني  هيمشي تاني مية في مية طبعا فطالما مشي خلاص وكان طبعا كابوس يعني
00225,يا نهار أبيض بقى بروح المكتب الصبح عياط من جوايا ده أمي راحت قالت للعيلة ده هو عارف بيعمل ايه أنا مش متنيل على
00226,عيني مش عارف أعمل حاجة خالص وقعدت ست شهور سبع شهور تمن شهور مش فاكر الوقت ايه لغاية أما بقى أول مشروع بدأ ييجي وبتاع كانت أكبر خدمة
00227,في حياتي عملتها لي مدير الموارد البشرية والراجل اللي كان بيدير يونيليفر ساعتها راجل فاضل ما حصلش
00228,إن هما ما رجعونيش تاني لان هما يعني
00229,لا أنت أنت خلاص أنت اخترت ده خليك فيه وده كانت أكبر حاجة حلوة حصلت لي في حياتي
00230,أكبر حاجة حلوة حصلت لي في حياتي أنا اكتشفت بقى لا لا لا ده بالمحاولة وبالمثابرة هتحصل هتحصل
00231,هتحصل هتحصل بقى بدأت بقى ساعتها أخد ثقة في نفسي يعني بدأت اخد ثقة في نفسي بقول لأ لأ
00232,ده هو اللي أنا اللي أنا عاوز أعمله هعمله  اوكي وبدأت اؤمن بحاجة وطبعا مؤمن بها
00233,جدا جدا جدا دلوقتي ان أي حد في الدنيا في الدنيا عايز يعمل حاجة
00234,مهما كانت الحاجة هيعملها مهما كانت الحاجة مهما كانت الحاجة
00235,يعني هعيدها تاني مهما كانت الحاجة الحاجة دي إن أنت عايز تبقى كده بس المهم
00236,تشتغل لها ويبقى حاطط خطة بالظبط خطة محددة أنت هتوصل لها ازاي
00237,ومتغيرش مسارك مش أما يجيلك فرصة تقوم أه شمال أه دي البتاعة دي مربحة وبتعمل حبة فلوس خليني فيها
00238,لو ما ساهتش عن الهدف بتاعك هتحققه هتحققه مهما كان هو ايه حتى لو الهدف ده إن أنت تبقي إيلون ماسك
00239,لو عايزه هتعمله لو فعلا عايزه هتعمله لو أنت مقتنع فعلا ان أنت
